[2025-07-24T02:25:19.573+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: TechAndUrbanGrowth.ingestion_urbanization_data manual__2025-07-24T02:25:12.724720+00:00 [queued]>
[2025-07-24T02:25:19.609+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: TechAndUrbanGrowth.ingestion_urbanization_data manual__2025-07-24T02:25:12.724720+00:00 [queued]>
[2025-07-24T02:25:19.613+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2025-07-24T02:34:29.140+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para A, registros: 0
[2025-07-24T02:34:29.696+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para N, registros: 0
[2025-07-24T02:34:29.987+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para ;, registros: 0
[2025-07-24T02:34:30.380+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para P, registros: 0
[2025-07-24T02:34:30.720+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para R, registros: 0
[2025-07-24T02:34:30.999+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para Y, registros: 0
[2025-07-24T02:34:31.277+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para ;, registros: 0
[2025-07-24T02:34:31.564+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para P, registros: 0
[2025-07-24T02:34:31.860+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para E, registros: 0
[2025-07-24T02:34:32.161+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para R, registros: 0
[2025-07-24T02:34:32.444+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para ;, registros: 0
[2025-07-24T02:34:32.803+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para K, registros: 0
[2025-07-24T02:34:33.075+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para N, registros: 0
[2025-07-24T02:34:33.385+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para A, registros: 0
[2025-07-24T02:34:33.664+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para ;, registros: 0
[2025-07-24T02:34:33.979+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para L, registros: 0
